Time,Open,High,Low,Close,Volume
"Mar 28, 2018",75.00,75.50,74.50,74.78,79500
"Mar 29, 2018",74.99,75.12,71.05,71.74,269000
"Mar 30, 2018",71.70,72.44,70.06,72.13,63500
"Apr 2, 2018",73.49,74.20,68.53,68.56,903000
"Apr 3, 2018",69.00,69.24,65.14,65.34,1171000
"Apr 4, 2018",65.00,68.60,65.00,68.60,929000
"Apr 5, 2018",69.30,70.05,67.00,67.99,564500
"Apr 6, 2018",69.00,69.80,67.50,68.00,174500
"Apr 9, 2018",68.35,68.50,67.10,67.23,29500
"Apr 10, 2018",67.90,68.65,66.61,67.56,179000
"Apr 11, 2018",68.00,70.30,68.00,69.07,645000
"Apr 12, 2018",69.69,69.97,68.40,68.56,166500
"Apr 13, 2018",70.90,71.98,69.95,71.98,547000
"Apr 16, 2018",74.00,74.65,71.70,72.91,580000
"Apr 17, 2018",72.02,73.95,71.20,73.55,210500
"Apr 18, 2018",73.85,73.85,71.00,72.33,153000
"Apr 19, 2018",72.25,72.50,71.15,71.64,175000
"Apr 20, 2018",72.00,73.49,71.55,72.70,311000
"Apr 23, 2018",73.25,76.10,73.25,75.85,462000
"Apr 24, 2018",76.00,76.80,75.50,76.32,332000
"Apr 25, 2018",75.55,79.00,75.35,78.77,891000
"Apr 26, 2018",79.45,79.49,77.60,77.89,301500
"Apr 27, 2018",78.00,81.78,77.01,80.23,638000
"Apr 30, 2018",81.25,84.24,79.75,84.12,2360000
"May 2, 2018",86.00,88.32,85.50,88.32,1357500
"May 3, 2018",90.00,91.85,87.00,89.36,1833500
"May 4, 2018",88.50,90.40,86.52,88.20,527500
"May 7, 2018",88.90,89.75,83.79,84.11,578500
"May 8, 2018",83.10,84.00,79.91,80.17,911500
"May 9, 2018",81.00,82.70,76.17,80.48,1042500
"May 10, 2018",81.30,84.50,80.30,83.84,625000
"May 11, 2018",84.00,84.50,82.00,82.66,310000
"May 14, 2018",82.00,82.10,79.00,80.09,367500
"May 15, 2018",81.00,84.09,81.00,84.06,805000
"May 16, 2018",84.99,87.60,84.90,86.29,384000
"May 17, 2018",85.55,88.01,83.60,84.96,105000
"May 18, 2018",84.50,87.00,82.00,85.73,138500
"May 21, 2018",87.00,88.00,85.50,85.67,212000
"May 22, 2018",85.75,87.24,85.31,86.09,164500
"May 23, 2018",86.00,90.39,86.00,90.17,512500
"May 24, 2018",92.40,94.67,92.00,92.44,1018500
"May 25, 2018",92.00,92.28,90.60,91.05,188500
"May 28, 2018",90.01,94.30,90.01,93.09,315500
"May 29, 2018",93.40,97.74,92.50,97.74,482500
"May 30, 2018",99.10,102.62,99.10,102.62,505000
"May 31, 2018",104.30,105.49,100.10,101.77,807000
"Jun 1, 2018",102.00,106.85,100.00,106.85,384500
"Jun 4, 2018",108.25,112.19,105.15,106.34,1534000
"Jun 5, 2018",104.55,111.65,104.55,111.06,986500
"Jun 6, 2018",111.50,116.60,110.00,115.47,916500
"Jun 7, 2018",116.80,118.45,114.51,116.70,583000
"Jun 11, 2018",118.49,122.53,118.20,122.53,845500
"Jun 12, 2018",126.10,127.65,120.00,121.31,710500
"Jun 13, 2018",122.01,127.37,122.00,126.47,1039500
"Jun 14, 2018",126.99,128.85,125.10,127.09,520000
"Jun 19, 2018",127.49,129.00,121.00,123.13,840000
"Jun 20, 2018",122.89,123.50,117.50,118.66,690500
"Jun 21, 2018",115.51,116.00,112.73,112.79,1193500
"Jun 22, 2018",112.80,115.50,107.16,107.16,1168000
"Jun 25, 2018",107.00,107.00,101.81,101.81,248000
"Jun 26, 2018",99.00,106.90,98.00,104.93,1220500
"Jun 27, 2018",107.50,110.17,107.50,110.17,589500
"Jun 28, 2018",112.49,115.67,111.00,115.67,229000
"Jun 29, 2018",118.65,121.45,115.97,121.07,2749500
"Jul 2, 2018",124.00,127.12,123.50,126.84,863600
"Jul 3, 2018",129.64,131.92,127.00,129.26,1100900
"Jul 4, 2018",129.00,129.40,122.80,125.80,1298200
"Jul 5, 2018",125.00,130.20,124.90,126.61,811300
"Jul 6, 2018",125.98,127.50,124.00,126.55,332800
"Jul 9, 2018",127.50,127.99,120.23,120.29,552300
"Jul 10, 2018",118.90,122.38,114.28,117.16,893500
"Jul 11, 2018",119.00,123.01,119.00,120.01,865300
"Jul 12, 2018",120.10,120.10,116.80,118.36,185200
"Jul 13, 2018",119.70,124.27,117.22,124.27,536200
"Jul 16, 2018",126.50,130.48,126.50,130.48,764500
"Jul 17, 2018",134.49,137.00,133.00,137.00,747200
"Jul 18, 2018",141.00,143.85,139.15,143.85,976900
"Jul 19, 2018",147.00,149.10,136.66,137.47,1450800
"Jul 20, 2018",134.10,139.50,130.60,130.60,1407500
"Jul 23, 2018",131.39,131.39,124.07,124.07,982700
"Jul 24, 2018",124.00,129.90,122.30,128.06,846900
"Jul 26, 2018",130.00,130.50,121.66,122.02,1604800
"Jul 27, 2018",122.40,127.90,120.01,123.96,942700
"Jul 30, 2018",122.50,122.90,117.77,117.77,1228700
"Jul 31, 2018",115.40,123.65,114.50,123.65,1020600
"Aug 1, 2018",125.10,127.90,123.65,126.46,688100
"Aug 2, 2018",126.25,132.78,125.70,132.78,1009200
"Aug 3, 2018",135.00,139.41,134.00,139.41,801600
"Aug 6, 2018",141.98,141.98,132.44,132.48,942800
"Aug 7, 2018",133.00,139.10,128.52,138.86,1085200
"Aug 8, 2018",140.00,140.97,132.25,132.55,609400
"Aug 9, 2018",132.98,139.17,131.80,139.17,866300
"Aug 10, 2018",143.78,146.12,139.00,143.77,1230900
"Aug 13, 2018",143.77,150.95,139.31,147.61,1281000
"Aug 15, 2018",151.10,154.99,150.10,154.99,1104200
"Aug 16, 2018",156.90,160.00,147.56,155.73,1119200
"Aug 17, 2018",159.00,162.99,153.00,157.57,641400
"Aug 20, 2018",158.89,161.50,153.60,155.21,377900
"Aug 24, 2018",155.50,157.00,152.00,152.65,234500
"Aug 27, 2018",153.05,155.00,150.06,151.35,208600
"Aug 28, 2018",151.50,154.00,149.10,150.45,242200
"Aug 29, 2018",151.00,151.89,147.02,149.46,172100
"Aug 30, 2018",148.75,156.93,147.50,155.45,615900
"Aug 31, 2018",156.80,156.80,153.00,154.79,182800
"Sep 3, 2018",155.00,157.25,149.60,155.26,427300
"Sep 4, 2018",155.30,163.02,155.20,163.02,648500
"Sep 5, 2018",167.01,169.80,161.30,165.05,612200
"Sep 6, 2018",162.98,164.40,156.80,157.15,514600
"Sep 7, 2018",157.00,157.60,149.30,149.32,282700
"Sep 10, 2018",150.80,152.88,143.15,151.47,429200
"Sep 11, 2018",154.00,154.48,144.22,147.97,469900
"Sep 12, 2018",148.00,150.50,143.65,145.61,247100
"Sep 13, 2018",145.00,152.89,143.50,152.89,698000
"Sep 14, 2018",160.53,160.53,155.00,159.58,699300
"Sep 17, 2018",158.40,159.50,151.61,151.61,523600
"Sep 18, 2018",150.00,150.00,144.03,144.18,1084300
"Sep 19, 2018",141.00,146.00,139.50,144.11,447300
"Sep 24, 2018",151.31,151.31,151.30,151.31,498900
"Sep 25, 2018",153.50,156.40,143.75,145.10,504700
"Sep 26, 2018",137.85,137.85,137.85,137.85,21400
"Sep 27, 2018",130.96,130.96,130.96,130.96,7200
"Sep 28, 2018",124.42,135.98,124.42,133.14,2202000
"Oct 1, 2018",134.09,138.00,129.50,130.72,258600
"Oct 2, 2018",128.51,133.10,125.00,126.62,126000
"Oct 3, 2018",128.99,131.88,124.50,130.25,419900
"Oct 4, 2018",131.25,133.95,129.50,131.22,228900
"Oct 5, 2018",132.95,132.95,124.66,126.06,263300
"Oct 8, 2018",127.00,127.00,119.76,121.16,260900
"Oct 9, 2018",124.99,127.21,124.15,127.21,396100
"Oct 10, 2018",129.45,133.57,129.45,133.57,98200
"Oct 11, 2018",140.24,140.24,137.20,140.19,693700
"Oct 12, 2018",147.19,147.19,133.19,133.21,712800
"Oct 15, 2018",128.10,136.00,128.00,129.86,435300
"Oct 16, 2018",132.00,134.00,127.56,129.07,320500
"Oct 17, 2018",132.00,135.52,130.00,133.11,526000
"Oct 18, 2018",134.45,134.45,131.00,133.49,235700
"Oct 19, 2018",134.90,140.16,131.00,140.01,648700
"Oct 22, 2018",141.90,147.01,137.00,143.65,684000
"Oct 23, 2018",144.90,144.90,136.47,136.47,294300
"Oct 24, 2018",137.99,141.99,133.01,133.65,641800
"Oct 25, 2018",131.60,132.40,126.97,126.97,320200
"Oct 26, 2018",120.63,126.98,120.63,125.59,766900
"Oct 29, 2018",125.24,129.85,122.10,123.15,441200
"Oct 30, 2018",124.95,124.95,117.00,117.00,453800
"Oct 31, 2018",113.00,122.00,113.00,115.09,502400
"Nov 1, 2018",112.00,117.50,111.06,113.37,289200
"Nov 2, 2018",113.00,117.00,113.00,116.00,492000
"Nov 5, 2018",116.98,121.80,116.98,121.80,570000
"Nov 6, 2018",125.01,127.89,120.00,127.41,1805000
"Nov 7, 2018",127.75,131.30,122.00,122.84,571500
"Nov 8, 2018",122.84,125.99,116.70,116.73,1350600
"Nov 9, 2018",115.98,118.50,110.90,111.13,1053800
"Nov 12, 2018",110.75,110.97,105.58,105.58,1153000
"Nov 13, 2018",100.52,107.49,100.31,102.98,4976200
"Nov 14, 2018",103.10,105.00,100.25,101.19,1570700
"Nov 15, 2018",101.99,106.24,100.50,106.24,1821300
"Nov 16, 2018",108.51,111.55,107.80,111.55,3025100
"Nov 19, 2018",113.50,117.12,112.50,117.12,1122600
"Nov 20, 2018",119.48,122.97,111.27,111.43,4436600
"Nov 22, 2018",109.30,113.02,105.86,105.86,1183400
"Nov 23, 2018",103.15,104.00,100.57,101.50,2322400
"Nov 26, 2018",102.00,103.10,96.43,96.43,1515800
"Nov 27, 2018",94.50,95.50,92.00,92.41,2226900
"Nov 28, 2018",92.99,97.03,92.99,97.03,964800
"Nov 29, 2018",99.00,101.88,99.00,101.88,1284200
"Nov 30, 2018",102.11,106.97,102.11,106.26,3274900
"Dec 3, 2018",102.00,102.39,100.95,100.95,474700
"Dec 4, 2018",97.00,97.05,95.91,95.91,1648700
"Dec 5, 2018",94.50,100.70,94.11,100.70,1867300
"Dec 6, 2018",104.47,104.47,95.67,96.16,1225500
"Dec 7, 2018",95.70,96.98,93.25,95.47,395900
"Dec 10, 2018",95.98,100.24,95.98,100.24,1450900
"Dec 11, 2018",101.48,104.00,95.23,97.14,2198400
"Dec 12, 2018",93.10,94.50,92.29,92.29,918500
"Dec 13, 2018",91.50,93.35,87.68,87.68,2264700
"Dec 14, 2018",86.70,91.75,85.60,87.67,1378500
"Dec 17, 2018",88.00,88.49,86.00,86.63,251900
"Dec 18, 2018",86.51,87.40,82.30,82.41,1261700
"Dec 19, 2018",82.39,82.98,78.29,79.83,3867300
"Dec 20, 2018",79.80,83.82,79.35,83.82,1627000
"Dec 21, 2018",85.00,85.99,79.63,80.16,2962200
"Dec 24, 2018",80.00,81.50,76.61,80.12,1152300
"Dec 26, 2018",79.20,82.70,79.20,80.75,1003600
"Dec 27, 2018",81.35,82.50,76.72,76.81,2108600
"Dec 28, 2018",77.00,77.29,72.97,72.97,1230600
"Dec 31, 2018",71.52,71.52,69.33,69.43,3639700
