Time,Open,High,Low,Close,Volume
"May 28, 2018",89.15,91.00,89.00,91.00,520500
"May 29, 2018",90.00,92.89,90.00,92.16,40500
"May 30, 2018",93.00,93.00,90.60,91.94,29000
"May 31, 2018",92.50,94.00,91.85,93.47,40500
"Jun 1, 2018",92.02,95.00,92.00,94.40,46000
"Jun 4, 2018",95.90,95.90,94.51,94.72,432000
"Jun 5, 2018",95.00,96.00,94.99,95.54,175000
"Jun 6, 2018",95.90,97.00,95.90,96.24,331000
"Jun 7, 2018",95.99,97.00,95.00,95.22,75000
"Jun 11, 2018",96.95,97.85,95.00,97.41,277500
"Jun 12, 2018",96.00,97.48,96.00,96.45,31500
"Jun 13, 2018",96.50,97.60,96.50,97.41,108000
"Jun 14, 2018",97.00,98.50,97.00,98.20,39000
"Jun 19, 2018",98.48,103.11,98.00,101.52,472000
"Jun 20, 2018",102.60,103.00,101.00,101.56,298000
"Jun 21, 2018",99.11,100.00,99.00,99.00,35000
"Jun 22, 2018",97.67,100.00,96.51,97.18,566000
"Jun 25, 2018",96.00,96.00,93.00,94.81,389500
"Jun 26, 2018",91.10,98.00,91.10,96.71,390000
"Jun 27, 2018",97.00,97.50,97.00,97.50,8000
"Jun 28, 2018",97.00,101.00,97.00,100.36,79500
"Jun 29, 2018",100.00,101.99,98.96,101.22,55000
"Jul 2, 2018",100.00,100.00,97.61,97.61,2500
"Jul 3, 2018",97.00,97.00,96.99,97.00,14500
"Jul 4, 2018",97.00,99.00,96.90,97.00,39000
"Jul 5, 2018",97.00,99.98,97.00,99.23,3500
"Jul 6, 2018",99.00,99.00,99.00,99.00,6000
"Jul 9, 2018",97.00,97.00,95.30,95.33,10500
"Jul 10, 2018",93.00,93.50,92.90,93.50,2000
"Jul 11, 2018",95.50,96.50,95.00,95.00,1055500
"Jul 12, 2018",95.00,99.75,95.00,98.00,112500
"Jul 13, 2018",99.00,102.90,98.99,102.12,266500
"Jul 16, 2018",101.00,107.22,100.00,106.14,208500
"Jul 17, 2018",109.24,111.44,109.24,111.44,664000
"Jul 18, 2018",115.00,117.01,114.95,117.01,652500
"Jul 19, 2018",122.86,122.86,117.00,121.05,1905500
"Jul 20, 2018",119.90,121.98,115.50,117.46,577500
"Jul 23, 2018",119.50,119.50,112.01,112.43,116000
"Jul 24, 2018",113.90,118.05,113.90,118.05,381500
"Jul 26, 2018",122.99,123.89,119.99,122.44,163000
"Jul 27, 2018",125.00,128.56,124.00,127.32,655000
"Jul 30, 2018",127.07,129.70,120.96,120.96,317000
"Jul 31, 2018",115.25,123.40,114.92,117.08,608000
"Aug 1, 2018",119.90,119.90,112.10,114.40,109000
