Time,Open,High,Low,Close,Volume
"Mar 5, 2018",49.80,50.00,49.50,49.81,54000
"Mar 6, 2018",49.61,49.61,49.01,49.04,129500
"Mar 7, 2018",49.04,51.44,48.76,49.50,334000
"Mar 8, 2018",50.00,51.60,49.55,51.41,485000
"Mar 9, 2018",51.99,53.25,51.50,52.51,756000
"Mar 12, 2018",52.50,55.13,52.50,54.45,1999000
"Mar 13, 2018",54.75,55.50,53.25,53.41,330500
"Mar 14, 2018",53.20,53.99,52.50,53.47,149500
"Mar 15, 2018",53.90,55.00,51.12,52.42,558000
"Mar 16, 2018",52.75,53.67,52.40,53.04,219500
"Mar 19, 2018",53.05,54.90,53.05,54.71,161000
"Mar 20, 2018",54.60,57.10,54.60,55.42,743000
"Mar 21, 2018",55.75,56.50,52.65,52.68,1211000
"Mar 22, 2018",52.48,54.00,51.00,51.71,317000
"Mar 26, 2018",51.20,53.19,51.20,52.61,296000
"Mar 27, 2018",53.00,53.25,51.00,51.23,474500
"Mar 28, 2018",51.00,51.01,50.00,50.44,90000
"Mar 29, 2018",50.44,51.25,50.41,50.65,128000
"Mar 30, 2018",51.00,51.48,50.65,50.76,25000
"Apr 2, 2018",51.02,51.38,50.85,51.23,81500
"Apr 3, 2018",51.05,53.79,51.05,53.79,1520500
"Apr 4, 2018",54.48,56.29,53.80,55.62,814500
"Apr 5, 2018",55.97,56.30,54.20,54.63,148500
"Apr 6, 2018",55.30,57.36,53.70,56.63,598000
"Apr 9, 2018",57.89,57.90,56.02,56.99,136500
"Apr 10, 2018",56.61,59.83,56.61,59.77,847000
"Apr 11, 2018",60.30,60.30,58.50,59.75,301000
"Apr 12, 2018",60.08,61.40,59.20,59.62,332500
"Apr 13, 2018",57.50,58.95,57.00,57.30,132000
"Apr 16, 2018",55.55,56.90,54.44,54.59,267500
"Apr 17, 2018",54.00,55.00,53.30,54.10,298000
"Apr 18, 2018",54.10,56.80,51.56,54.80,898000
"Apr 19, 2018",54.89,55.02,52.75,53.73,286000
"Apr 20, 2018",54.00,54.50,53.75,54.16,67500
"Apr 23, 2018",53.35,54.85,53.35,54.41,54500
"Apr 24, 2018",54.55,57.12,54.55,55.11,326500
"Apr 25, 2018",55.20,55.90,53.93,54.55,292000
"Apr 26, 2018",54.50,54.80,53.80,54.12,150000
"Apr 27, 2018",53.50,56.50,52.50,56.03,806000
"Apr 30, 2018",56.50,56.50,54.53,55.16,76000
"May 2, 2018",54.85,57.89,54.85,57.78,799500
"May 3, 2018",58.50,58.50,56.80,57.89,230000
"May 4, 2018",58.19,59.61,55.11,57.99,647500
"May 7, 2018",58.90,59.50,58.25,58.41,236000
"May 8, 2018",58.35,61.33,58.35,61.26,605000
"May 9, 2018",62.00,63.50,59.65,60.77,357000
"May 10, 2018",61.70,61.73,59.86,60.03,163500
"May 11, 2018",60.45,61.20,59.62,60.35,60000
"May 14, 2018",59.00,60.00,57.34,57.96,168000
"May 15, 2018",58.00,60.85,56.40,60.85,229500
"May 16, 2018",61.79,63.60,61.01,62.86,202000
"May 17, 2018",63.00,64.00,62.00,62.01,108500
"May 18, 2018",62.00,62.00,60.70,61.33,40000
"May 21, 2018",60.93,61.50,59.56,59.87,27500
"May 22, 2018",60.00,61.70,60.00,60.69,50500
